topic_id,provisional_topic_label,representative_rank,comment_id,dominant_topic_probability,raw_text,sentiment_label,vader_compound,lifecycle_stage_final,entity_name_canonical,final_topic_label
2,Topic 2: battery / bus / batteries,1,c_735f6b0eb726ae45cc08,0.9946020841598512,"We should invest   Battery swap technology for  buses for Big cities,  There will  5-8 major bus station should have Battery swap station which can swap fully charged battery in 15 min.  Maximum distance travelled by City bus one way is around 50 km. So Battery capacity max required is 75 km. No need to have Big battery capacity Once Bus reaches end point It should swap new fully charged battery for return trip.  Smaller batteries will reduce cost and increase range.  Since battery are swappable and as well as smaller, their can be charged slowly overnight with more reliable charger.    Buses need not to have their own charger control which wil reduce weight and cost.  Now Government can ""Buy batterie's Ampere"" hours and Own the Basic bus without the battery. There will be bus routes with One way trip of 25 km, then they can have even smaller batteries during battery swap.",Negative,-0.4365,pre_adoption,General/Industry,"Battery Technology, Swapping & Lifecycle Economics"
2,Topic 2: battery / bus / batteries,2,c_a1a567704543e011482c,0.9833186268806458,Electric buses are a pathetic investment. In my view commercial EVs are b*******! More than 100 kWh battery pack in present technology conditions is not eco friendly. If you can go with hydrogen powered or CNG based or flex fuel based commercial vehicles then it will be good. Efficiency is the best policy.,Positive,0.552,general_unspecified,General/Industry,"Battery Technology, Swapping & Lifecycle Economics"
2,Topic 2: battery / bus / batteries,3,c_7b8ca7166af75c410b62,0.9808703660964966,"Even with all assumption of changing battery, heavy capex, cost over lifetime would be much lesser than diesel bus, while providing superior service. If they are getting the same amount as diesel bus operation, the only gamble is the infrastructure, not the battery price.",Positive,0.5423,pre_adoption,General/Industry,"Battery Technology, Swapping & Lifecycle Economics"
2,Topic 2: battery / bus / batteries,4,c_8de7a8c95b16f302d45c,0.9798867106437684,"Hi Many facts are incorrect, firstly at Cell level already the cost has come down to $50/kwh for Lithium ion phosphate batteries, secondly LFP batteries easily last 2000-3000 cycles hence they will easily work for 15-20 years.",Positive,0.5859,pre_adoption,General/Industry,"Battery Technology, Swapping & Lifecycle Economics"
2,Topic 2: battery / bus / batteries,5,c_315093215950f2c85056,0.9762163758277892,13:25 Best decision. I hope states default and central government takes fund from their freebies yojana to pay bus operators. Too much election loot going on in local state bodies,Positive,0.8591,general_unspecified,General/Industry,"Battery Technology, Swapping & Lifecycle Economics"
3,Topic 3: india / bus / buses,1,c_da2c50c84faf31c1da9a,0.988548219203949,"Excellent video. 
The money saved on capex of buying the buses either through loans or upfront will be far greater than installing charging infrastructure at the bus depots. This is of course assuming that BEVs are the de facto technology for commercial buses. 
BEST buses clock ablout 150-200 kms a day on average person bus. A weekly payment or bi monthly payment schedule should keep all parties happy. 
5-7 years is a significant amount of time to expect drastic improvements in battery technology both in terms of cost pkwh as well as battery density pkwh.",Positive,0.9765,pre_adoption,General/Industry,"Public Infrastructure, Funding & Alternative Transit"
3,Topic 3: india / bus / buses,2,c_bc86d6fbf3fada0f1c7c,0.9812655448913574,India we still pay rs 5 for public transport and rs 10 for metro and we expect govt to invest in infrastructure and technology. We Indians still want to be cheapskates and want free toll and then expect govt to build state highways. we should be blamed in a capitalist world.,Positive,0.1027,general_unspecified,General/Industry,"Public Infrastructure, Funding & Alternative Transit"
3,Topic 3: india / bus / buses,3,c_d6851bea7417fdf06261,0.9792332053184508,deflation bet is perfect to take because it doesn't depend on lithium as many other chemistries are developing. with that there is a big but on production side there should be proper cooling system in buses and on gov side there should be perfect grid if there is any short coming then batteries will be dead due to improper voltage,Positive,0.1154,general_unspecified,General/Industry,"Public Infrastructure, Funding & Alternative Transit"
3,Topic 3: india / bus / buses,4,c_e48605f66308b520b607,0.975199282169342,"india has money to fight elections, announce freebies , waste money on infrastructure projects through corruption , but will not have money for critical common sense  things , like improving policing , mass transit facilities or renewable energy systems.",Positive,0.705,general_unspecified,General/Industry,"Public Infrastructure, Funding & Alternative Transit"
3,Topic 3: india / bus / buses,5,c_694e2195b59867044b68,0.9751989841461182,"india needs road side trams to connect Metro system,   long modern trams have more capacity to reduce traffic , also uses power grid",Neutral,0.0,general_unspecified,General/Industry,"Public Infrastructure, Funding & Alternative Transit"
4,Topic 4: bus / buses / battery,1,c_db7a80da68ee3b5a274a,0.99340558052063,Truth tata ashok leyland just assemble company not manufactures and mail is worst company for Hyderabad bus or truck dnt manufacturing in India and in this business driver life khaya hoga bolo heavy vehicle operater salary 22000 per month in olatra company Hyderabad or Delhi Mumbai living cost kha hae bolo this called development why electric you guys educated people dnt have ane scene on any industry Cummins the amarican mechanism engine manufacturer research on Indian road and driver the get Cummins isbi bs 6 engine low pollution high performance every Indian driver likes Cummins that's tata and Bharath benz sustained in Indian with company tata wast company and same in ashok leyland with hino and zf garebox aray houly education engineering and business we want aa good engine and gareboxs for our national and good drivers and driver life  not electric or hydrogen,Positive,0.6124,general_unspecified,General/Industry,"Domestic Manufacturing, R&D & China Dependence"
4,Topic 4: bus / buses / battery,2,c_bc8b009f3181b685763e,0.9921802878379822,"Ind has always short cut and mindset of slavery thatswhy no work on R&D ind only 10 companies has R&D 90 % imported thatswhy ind eco never self dependent or near self dependent anytime US,china hurt ind eco when they want due nostrategic future  planning investment on R&D by successive govt because govt only making 5 year plan and maximum time money govt invest to make happy its voters or appease certain section thatswhynow era of fast competition so ind need make independent body like courts EC to ensure continue focus on indian defence and industrial R&D and future planning which no hurt after govt change etc other ind already late and if this continues many countries like ind loose its eco industrial freedom and become dependent on china or US and behave modern colonies",Positive,0.2732,post_use,General/Industry,"Domestic Manufacturing, R&D & China Dependence"
4,Topic 4: bus / buses / battery,3,c_bc962385f71bcc9af43c,0.9912803173065186,"THIS BHARTIYA COMPANIES WILL MAKE CHINA MANUFACTURING GIANTS TO BUILD REQUIRED BATTERIES INTO BHARAT ITSELF, BECAUSE INTO NEXT SEVEN YEAR'S NUMBER GAMES WILL WORK FOR THEM, ATLEAST WITH NO HYPER PROJECTION 700000 ELECTRIC BUSES ON BHARTIYA ROADS, NOW THIS CHINESE GIANTS ALSO WANT'S TO EARN PROFITS FOR THAT PURPOSE THEY WILL START MANUFACTURING BATTERIES INTO BHARAT ITSELF BECAUSE AFTER SALE SERVICE PLAY A BIG ROLE INTO AUTO INDUSTRY SURVIVAL,
SO DON'T GIVE PANIC JUDGEMENT VIDEOS, AS TATA & OTHER GIANTS ARE CONCERNED THEY WILL ALSO ENTER INTO MARKET WITH GREAT BATTERY TECHNOLOGY INTO HAND'S, FOR THAT PURPOSE CONCEPT WILL GO INTO POSITIVE OUTCOME.
I THINK EVERYTHING IS CLEAR.
OM GANESHAY NAMAHA OM NANDISHWRAY GURUDEV NAMOSTUBHYAM, JAI GAU VANSH NAMOSTUBHYAM, JAI MAHAKAAL MAHAKAALI KA PARIVARTAN YUG PURE 73000 VARSH, OM NAMAHA SHIVAYA SHAMBHU MAHADEV NAMOSTUBHYAM HAR HAR MAHADEV SHAMBHU MAHADEV NAMOSTUBHYAM HAR HAR MAHADEV SHAMBHU MAHADEV NAMOSTUBHYAM",Positive,0.9736,pre_adoption,General/Industry,"Domestic Manufacturing, R&D & China Dependence"
4,Topic 4: bus / buses / battery,4,c_925be51bebc3f00065e9,0.9908597469329834,"No need to worry
The current new players shell be encouraged in market
To reduce the burden 
Thebuses company should 
Use double batteries
Mean having one solar panel on top of bus 
To reduce the weight  and load on buses 
The solar planes in summer can run a/c's  and battery cooling on it and and also can connect to batteries if additional electricity is generated  the batteries get charged.
Simple logic
The new developed technology need the surrender the bus stations  to the companies
So that they can convert into safe and clean  and useful for buses to have electric charging points and having solar panels on bus stations.",Positive,0.4588,pre_adoption,General/Industry,"Domestic Manufacturing, R&D & China Dependence"
4,Topic 4: bus / buses / battery,5,c_cb9eeced216a129f5b6d,0.9906336665153505,"These buses have 3rd class chinese seats

Tata and Ashok Leyland are not really interested in electric buses and that's why they have built very little ebuses.

Even in cars Tata has stated that they will not make more than 20% of their vehicles electric.

Expertise in OLD Diesel technology will PREVENT them from expanding EXPONENTIALLY in NEW EV technology.

Tata and Ashok Leyland and Eicher and all ICE companies don't even own the ICE PATENTS... They have a partnership agreement with western ICE companies.

These western companies will prevent them from manufacturing EVs.

Only hope is New Gen companies like JBM Auto and Olectra Greentech.",Positive,0.794,general_unspecified,General/Industry,"Domestic Manufacturing, R&D & China Dependence"
5,Topic 5: china / bus / hai,1,c_d126f8b6da5975bad834,0.9889764189720154,"NOBODY realises the operating costs of 1 Diesel bus is almost 50L-1Cr per yr ... We are all ok with that... the whole department... In EVERY STATE  has become BANKRUPT because of that... Buy we will NOT BUY... ONLY RENT and incur same expense.

So companies like JBM Auto and Olectra Greentech get DOUBLE profit... 1. Cost of bus & 2. Operation profit.

So what the state transport dept had to save goes in the pocket of private bus companies.

BUYING WAS ALWAYS PROFITABLE.",Positive,0.8548,post_use,General/Industry,"Tender Economics, Public Funding & Private Operators"
5,Topic 5: china / bus / hai,2,c_9881cc4f672184a409de,0.9788143634796144,"Instead of freebies, even if 50% of freebie funds are used for investing in such infra, capital problem can be solved. Free dene keliye dunia barke loan , paisa hota hai govts ke paas, par baat tab public transport, education, health par aati hai tab funds ka achanak shortage hota hai, sabi public transport corporation gaate meh hota hai...",Positive,0.7184,general_unspecified,General/Industry,"Tender Economics, Public Funding & Private Operators"
5,Topic 5: china / bus / hai,3,c_fcc82f9da8828abac114,0.9762378334999084,"Ajeeb hai bhai tu ? 

Jab inse comparision karte hai to bolte ho china se karo jab china se karte hai to inse mat karo

Tu agar below average bacha hai toh failure se comparision kareg ya topper se ?",Negative,-0.5661,general_unspecified,General/Industry,"Tender Economics, Public Funding & Private Operators"
5,Topic 5: china / bus / hai,4,c_8db24939a3640416131d,0.974698543548584,Don't make company white name they company signature a bond with bjp to give more then 50 percent commission so they won tender governments modified tender documents to given tender them those have no r&d they have only assible China's components easily,Positive,0.6344,procurement,General/Industry,"Tender Economics, Public Funding & Private Operators"
5,Topic 5: china / bus / hai,5,c_fa73e47acef7cc3e5b91,0.97093403339386,Still better than lot of Indian startup. These guys can anytime get themself listed in stock market or raise capital their revenue and business model is better than lot of current Indian startup’s,Positive,0.7003,general_unspecified,General/Industry,"Tender Economics, Public Funding & Private Operators"
6,Topic 6: olectra / india / bus,1,c_8d3f86eea5da5c02a0f0,0.9909754991531372,"Please double check the Non AC vs AC electric buses that will be running all over India in this model. My understanding is that the ratio will be 90:10 non AC to AC. Your point about depleted battery life issues because of internal AC + external heat goes out of the window in that case for 90% of the cases. 

The biggest challenge that these new manufacturers face right now for the next few years is the basic ability to keep buses running. In Karnataka, the minister has already flagged in Jan 2026 the many issues with the electric buses. Companies may go bankrupt much before the 6/7 years time when they have to replace the batteries",Positive,0.0772,general_unspecified,General/Industry,"New-Age OEM Execution, Reliability & Service Risk"
6,Topic 6: olectra / india / bus,2,c_d76861d25db7f2833670,0.9882768392562866,"worst service ever, had to stand for 45 minutes as the bus was smaller than what is was supposed to be, had to mail more than thrice for which they said that i am not eligible for refund as i have completed the trip, i had to sit in a non recliner(after standing for more than 45 minutes) while i paid extra for the recliner ones, mistakes happen sometimes i understand but the service provided by the customer care is even worse, would not recommend, please be aware, they are here just for the money, they don’t care about customer service or satisfaction, no refund or compensation provided as well @nuegoindia",Positive,0.1882,post_use,NueGo,"New-Age OEM Execution, Reliability & Service Risk"
6,Topic 6: olectra / india / bus,3,c_eadc78000200a5f07082,0.9875311851501464,"You are completely wrong about Battery life. Battery life is measured in cycles, Buses use LFP batteries and they have 3000 charging cycles  which is good enough for 15 years. and have nothing to worry about heat. And the battery pack are concealed and nothing to worry about dust. It's a proven fact that Electric powertrain requires much less maintenance and they hardly brake down. I would suggest you to research properly about EVs and EV tech and don't get knowledge by superficial headline hunting.",Positive,0.5137,post_use,General/Industry,"New-Age OEM Execution, Reliability & Service Risk"
6,Topic 6: olectra / india / bus,4,c_ebbc38aa6c41356275ad,0.9862160682678224,"This is risky partnership. These bus operators when they start making losses they will not replace old batteries but rather reduce the number of buses. This will affect common people. We know the condition in india. Neither government takes responsibility nor operators. Every company claims made in india but,the important component comes from China.  Every company wants quick money and rather than investing in R&D they will just choose shortcut",Positive,0.1027,general_unspecified,General/Industry,"New-Age OEM Execution, Reliability & Service Risk"
6,Topic 6: olectra / india / bus,5,c_01d6b01a8a8c198f0835,0.9857138395309448,"Olectra and PMI are just Chinese front they don't design anything. Zero R&D, they just assemble  BYD and Foton, most of their components are imported from their Chinese partners, which is why Olectra's delivery to MH was delayed and 10k order was cancelled because their Chinese partner had difficulty in shipping components. JBM and EKA on other hand are unique they own and design themselves only the batteries are imported at the  moment because there is no Indian made battery at the moment but it will change when Agratas, Exide, Amara raja.. battery plants come up.",Negative,-0.2846,procurement,General/Industry,"New-Age OEM Execution, Reliability & Service Risk"
7,Topic 7: india / electric / china,1,c_2331c6e329446b79e0a5,0.9875885844230652,"Most of us think China has made us it's customer but it is exactly opposite of what they are doing they want our disel vechile to be fully replaced by its electric one.
We create body parts infrastructure and scrap old of disel.
Then they give us batteries at subsidized price so that we think it is compitative to an environment friendly.
Then they will use this leverage for geopolitical gain if we resist it simply denies to provide heart of these bodies under sanction.
We are almost becoming gulam just China has used other model than Pakistan otherwise we are no different for them just cheap consumer who can't live without them.",Positive,0.7579,general_unspecified,General/Industry,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,Topic 7: india / electric / china,2,c_70facd39f477ac8f0a2b,0.9867454767227172,"My experience with NueGo has been extremely disappointing. My suitcase is still missing despite multiple calls, emails, follow-ups, and sharing all the required details, including my PNR. I have been repeatedly assured that the issue would be resolved soon, but I have only received delays and false commitments.
The luggage contains my essential belongings, and the continued delay has caused me significant inconvenience as well as financial hardship. Instead of resolving the issue, customer support keeps providing new excuses without any concrete action.
I expected professionalism and accountability from NueGo, but unfortunately, my experience has been the opposite. If this matter is not resolved immediately, I will have no option but to pursue legal and consumer protection remedies. Based on my experience, I cannot recommend NueGo's services to anyone.",Negative,-0.2556,post_use,NueGo,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,Topic 7: india / electric / china,3,c_86618d223b3065932d9c,0.98403400182724,"Great Assessment Jayant
GCC model currently works for corporate kind of setup... larger infra requirements needs to be adapated especially on Depot level where infra has to be upgraded
SEBs needs to gear up to provide supply to DEPOTS

I also seen an opportunity of providing SOLAR roofs across Depots, not only they produce electricity with 9-10 months of clear sun esp in NWS India, it will be more sustanainable model in the larger run",Positive,0.8591,procurement,General/Industry,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,Topic 7: india / electric / china,4,c_b0d91afb531e8af190b1,0.9809098839759828,"Electric Vehicles in general are a bad idea. Instead of fully transitioning to electric vehicles, they should have just invested in hybrid buses that give better cost per kilometer or they could use pantographs to create specific routes where the electric bus can charge by itself while its on road.",Positive,0.128,general_unspecified,General/Industry,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
7,Topic 7: india / electric / china,5,c_da790b5810903e750e50,0.9799279570579528,"use LTO cells.  Gives 20,000 cycles at 2C, 2C charging / discharging rates  i.e.   full charge in half hour.
      NMC cells give 1500-2000 cycles at much lower charging rates ;  fast charging drastically reducing cycles life.",Negative,-0.296,general_unspecified,General/Industry,"Supply-Chain Risk, Charging Alternatives & Service Gaps"
